kanji,strokes,frequency,grade,jlpt,parts,radicals,on_readings,kun_readings,on_readings_compounds,kun_readings_compounds
収,4,337,grade 6,N3,"{'｜': 'http:////jisho.org/search/%EF%BD%9C%20%23kanji', '又': 'http:////jisho.org/search/%E5%8F%88%20%23kanji'}",{'又': 'right hand'},{'シュウ': 'http:////jisho.org/search/%E5%8F%8E%20%E3%81%97%E3%82%85%E3%81%86'},"{'おさ.める': 'http:////jisho.org/search/%E5%8F%8E%20%E3%81%8A%E3%81%95%E3%82%81%E3%82%8B', 'おさ.まる': 'http:////jisho.org/search/%E5%8F%8E%20%E3%81%8A%E3%81%95%E3%81%BE%E3%82%8B'}","[""収穫  【シュウカク】  harvest, crop, ingathering, fruits (of one's labors), gain, result, returns"", '収益  【シュウエキ】  earnings, proceeds, returns, revenue', '徴収  【チョウシュウ】  collection (of fees, taxes, etc.), levy', '増収  【ゾウシュウ】  increase in yield']","['収める  【おさめる】  to dedicate, to make an offering, to pay (fees), to supply, to store, to finish, to bring to a close, to restore (something to its place), to achieve (e.g. a result)', ""収まる  【おさまる】  to fit into (a box, frame, category, etc.), to be contained within, to fall within (e.g. a budget), to settle down (into), to be installed (in one's rightful place), to be returned (to one's original position), to settle into (one's position), to take up (a post), to occupy (a role), to be delivered, to be paid (e.g. taxes), to be settled (dispute, conflict, etc.), to be sorted, to subside (e.g. wind), to calm down, to abate, to be satisfied (e.g. with an answer), to consent, to agree""]"
囚,5,2107,junior high,N1,"{'人': 'http:////jisho.org/search/%E4%BA%BA%20%23kanji', '囗': 'http:////jisho.org/search/%E5%9B%97%20%23kanji'}",{'囗': 'enclosure'},{'シュウ': 'http:////jisho.org/search/%E5%9B%9A%20%E3%81%97%E3%82%85%E3%81%86'},{'とら.われる': 'http:////jisho.org/search/%E5%9B%9A%20%E3%81%A8%E3%82%89%E3%82%8F%E3%82%8C%E3%82%8B'},"['囚人  【シュウジン】  prisoner', '囚衣  【シュウイ】  prison uniform', '確定死刑囚  【カクテイシケイシュウ】  criminal condemned to death, convict on death row', '罪囚  【ザイシュウ】  prisoner, convict']","['捕らわれる  【とらわれる】  to be caught, to be captured, to be taken prisoner, to be arrested, to be apprehended, to be seized with (fear, etc.), to be a slave to, to stick to, to adhere to, to be swayed by']"
州,6,386,grade 3,N2,"{'｜': 'http:////jisho.org/search/%EF%BD%9C%20%23kanji', '丶': 'http:////jisho.org/search/%E4%B8%B6%20%23kanji', '川': 'http:////jisho.org/search/%E5%B7%9D%20%23kanji'}",{'丨': 'line'},"{'シュウ': 'http:////jisho.org/search/%E5%B7%9E%20%E3%81%97%E3%82%85%E3%81%86', 'ス': 'http:////jisho.org/search/%E5%B7%9E%20%E3%81%99'}",{'す': 'http:////jisho.org/search/%E5%B7%9E%20%E3%81%99'},"['州  【シュウ】  state (US, Australia, India, Germany, etc.), province (e.g. Canada), canton (e.g. Switzerland), oblast (e.g. Russia), department (e.g. ancient China), continent, dear', '州政府  【シュウセイフ】  state government', '広州  【コウシュウ】  Guangzhou (China), Kwangchow, Canton', '沿海州  【エンカイシュウ】  (Russian) maritime provinces', '州  【ス】  sandbank, sandbar', '洲浜  【スハマ】  sandy beach, sandbar that projects into the ocean, particularly in a wavy form, designs and objects with a wavy pattern, sweet mochi cake', '白州  【シラス】  white sandbar, white sandbank, area in a garden or entrance of a house laid with white sand or pebbles, gravel separating a Noh stage from the audience, court of law in the Edo period, in which the parties sat on white sand', '中州  【ナカス】  sandbank (in a river), sandbar']","['州  【す】  sandbank, sandbar', '洲浜  【すはま】  sandy beach, sandbar that projects into the ocean, particularly in a wavy form, designs and objects with a wavy pattern, sweet mochi cake', '白州  【しらす】  white sandbar, white sandbank, area in a garden or entrance of a house laid with white sand or pebbles, gravel separating a Noh stage from the audience, court of law in the Edo period, in which the parties sat on white sand', '中州  【なかす】  sandbank (in a river), sandbar']"
舟,6,1786,junior high,N2,{'舟': 'http:////jisho.org/search/%E8%88%9F%20%23kanji'},{'舟': 'boat'},{'シュウ': 'http:////jisho.org/search/%E8%88%9F%20%E3%81%97%E3%82%85%E3%81%86'},"{'ふね': 'http:////jisho.org/search/%E8%88%9F%20%E3%81%B5%E3%81%AD', 'ふな-': 'http:////jisho.org/search/%E8%88%9F%20%E3%81%B5%E3%81%AA', '-ぶね': 'http:////jisho.org/search/%E8%88%9F%20%E3%81%B6%E3%81%AD'}","['舟艇  【シュウテイ】  boat, watercraft', '舟運  【シュウウン】  transportation by water (e.g. by ship)', '軽舟  【ケイシュウ】  light boat, skiff', '同舟  【ドウシュウ】  shipmates, fellow passengers']","['船  【ふね】  ship, boat, watercraft, vessel, steamship, tank, tub, vat, trough, counter for boat-shaped containers (e.g. of sashimi)', '船貝  【ふねがい】  Arca avellana (species of ark shell)', '釣り船  【つりぶね】  fishing boat', '曳船  【えいせん】  tugboat, towing, towage']"
秀,7,848,junior high,N1,"{'ノ': 'http:////jisho.org/search/%E3%83%8E%20%23kanji', '乃': 'http:////jisho.org/search/%E4%B9%83%20%23kanji', '禾': 'http:////jisho.org/search/%E7%A6%BE%20%23kanji'}",{'禾': 'grain'},{'シュウ': 'http:////jisho.org/search/%E7%A7%80%20%E3%81%97%E3%82%85%E3%81%86'},{'ひい.でる': 'http:////jisho.org/search/%E7%A7%80%20%E3%81%B2%E3%81%84%E3%81%A7%E3%82%8B'},"['秀  【シュウ】  preeminence, superlativeness', '秀作  【シュウサク】  excellent (piece of) work', '閨秀  【ケイシュウ】  accomplished lady', '清秀  【セイシュウ】  having refined and distinguished features, having a bright face']","['秀でる  【ひいでる】  to excel, to surpass']"
周,8,562,grade 4,N2,"{'冂': 'http:////jisho.org/search/%E5%86%82%20%23kanji', '口': 'http:////jisho.org/search/%E5%8F%A3%20%23kanji', '土': 'http:////jisho.org/search/%E5%9C%9F%20%23kanji'}","{'口': 'mouth, opening'}",{'シュウ': 'http:////jisho.org/search/%E5%91%A8%20%E3%81%97%E3%82%85%E3%81%86'},{'まわ.り': 'http:////jisho.org/search/%E5%91%A8%20%E3%81%BE%E3%82%8F%E3%82%8A'},"['周  【シュウ】  Zhou dynasty (China, approx. 1046-256 BCE), Chou dynasty, perimeter, counter for laps or circuits', '周囲  【シュウイ】  surroundings, environs, circumference', '円周  【エンシュウ】  circumference', '外周  【ガイシュウ】  outer circumference']","['周り  【まわり】  circumference, girth, surroundings, neighbourhood, neighborhood, vicinity', '周りの目  【まわりのめ】  how others look at you, what others think about you']"
宗,8,997,grade 6,N1,"{'二': 'http:////jisho.org/search/%E4%BA%8C%20%23kanji', '宀': 'http:////jisho.org/search/%E5%AE%80%20%23kanji', '小': 'http:////jisho.org/search/%E5%B0%8F%20%23kanji', '示': 'http:////jisho.org/search/%E7%A4%BA%20%23kanji'}",{'宀': 'roof'},"{'シュウ': 'http:////jisho.org/search/%E5%AE%97%20%E3%81%97%E3%82%85%E3%81%86', 'ソウ': 'http:////jisho.org/search/%E5%AE%97%20%E3%81%9D%E3%81%86'}",{'むね': 'http:////jisho.org/search/%E5%AE%97%20%E3%82%80%E3%81%AD'},"['宗  【シュウ】  sect', '宗教  【シュウキョウ】  religion, religious affiliation, belief, faith, creed, religious activity', '浄土真宗  【ジョウドシンシュウ】  Jōdo Shinshū (offshoot of the Jōdo sect), True Pure Land School', '浄土宗  【ジョウドシュウ】  Pure Land sect (of Buddhism), Jodo (sect)', '宗主国  【ソウシュコク】  suzerain state', '宗家  【ソウケ】  head of family, originator', '大宗  【タイソウ】  leading figure, foundation', '皇宗  【コウソウ】  imperial ancestors']","['旨  【むね】  principle, aim, main purpose, central part, pillar, purport, gist, drift, meaning, instructions, orders, intention, wishes', '正宗  【まさむね】  famous sword, sword blade by Masamune, sake, Japanese rice wine, brand of sake from Nada region during Tenpō era (1830-1844)']"
拾,9,1479,grade 3,N2,"{'一': 'http:////jisho.org/search/%E4%B8%80%20%23kanji', '个': 'http:////jisho.org/search/%E4%B8%AA%20%23kanji', '口': 'http:////jisho.org/search/%E5%8F%A3%20%23kanji', '扎': 'http:////jisho.org/search/%E6%89%8E%20%23kanji'}",{'手 (扌龵)': 'hand'},"{'シュウ': 'http:////jisho.org/search/%E6%8B%BE%20%E3%81%97%E3%82%85%E3%81%86', 'ジュウ': 'http:////jisho.org/search/%E6%8B%BE%20%E3%81%98%E3%82%85%E3%81%86'}",{'ひろ.う': 'http:////jisho.org/search/%E6%8B%BE%20%E3%81%B2%E3%82%8D%E3%81%86'},"['収集  【シュウシュウ】  collecting, accumulating, gathering, collection (of art, stamps, insects, etc.), garbage collection, waste collection', '拾得  【シュウトク】  finding (lost property), picking up', '十  【ジュウ】  ten', '１０万  【ジュウマン】  100,000, hundred thousand']","['拾う  【ひろう】  to pick up, to find, to gather']"
秋,9,635,grade 2,N4,"{'火': 'http:////jisho.org/search/%E7%81%AB%20%23kanji', '禾': 'http:////jisho.org/search/%E7%A6%BE%20%23kanji'}",{'禾': 'grain'},{'シュウ': 'http:////jisho.org/search/%E7%A7%8B%20%E3%81%97%E3%82%85%E3%81%86'},"{'あき': 'http:////jisho.org/search/%E7%A7%8B%20%E3%81%82%E3%81%8D', 'とき': 'http:////jisho.org/search/%E7%A7%8B%20%E3%81%A8%E3%81%8D'}","['秋季  【シュウキ】  fall season, autumn season', '秋風  【アキカゼ】  autumn breeze, fall breeze', '今秋  【コンシュウ】  this autumn, this fall, autumn of this year', '中秋  【チュウシュウ】  15th day of the 8th lunar month, eighth month of the lunar calendar']","['秋  【あき】  autumn, fall', '秋口  【あきぐち】  beginning of autumn, beginning of fall', ""春秋  【しゅんじゅう】  spring and autumn, spring and fall, years, age, The Spring and Autumn Annals, The Chronicles of Lu, Chunqiu, Ch'un Ch'iu"", '中秋  【ちゅうしゅう】  15th day of the 8th lunar month, eighth month of the lunar calendar', '時  【とき】  time, hour, moment, occasion, case, chance, opportunity, season, the times, the age, the day, tense', '危急存亡の秋  【ききゅうそんぼうのとき】  crisis, critical moment, critical time']"
臭,9,1760,junior high,N1,"{'大': 'http:////jisho.org/search/%E5%A4%A7%20%23kanji', '目': 'http:////jisho.org/search/%E7%9B%AE%20%23kanji', '自': 'http:////jisho.org/search/%E8%87%AA%20%23kanji'}",{'自': 'self'},{'シュウ': 'http:////jisho.org/search/%E8%87%AD%20%E3%81%97%E3%82%85%E3%81%86'},"{'くさ.い': 'http:////jisho.org/search/%E8%87%AD%20%E3%81%8F%E3%81%95%E3%81%84', '-くさ.い': 'http:////jisho.org/search/%E8%87%AD%20%E3%81%8F%E3%81%95%E3%81%84', 'にお.う': 'http:////jisho.org/search/%E8%87%AD%20%E3%81%AB%E3%81%8A%E3%81%86', 'にお.い': 'http:////jisho.org/search/%E8%87%AD%20%E3%81%AB%E3%81%8A%E3%81%84'}","['臭  【シュウ】  -smell, stinking of, smacking of, hinting of', '臭覚  【シュウカク】  the sense of smell', '体臭  【タイシュウ】  body odor, body odour, personal odor, personal odour, characteristic (of someone)', '異臭  【イシュウ】  offensive smell, off-flavor, off-flavour']","['臭い  【くさい】  stinking, smelly, suspicious, fishy, clumsy, unskilled, smelling of, looking like, appearing like, smacking of, -ish', '臭い玉  【においだま】  tonsil stone, tonsillolith, scent ball', '匂う  【におう】  to be fragrant, to smell (good), to stink, to smell (bad), to glow, to be bright, to smack of, to show hints of', '匂い  【におい】  odour, odor, scent, smell, stench, aura, whiff, smacks of ..., sense, flavour, flavor', '匂いがする  【においがする】  to smell, to smell of, to have a smell']"
修,10,603,grade 5,N1,"{'｜': 'http:////jisho.org/search/%EF%BD%9C%20%23kanji', '化': 'http:////jisho.org/search/%E5%8C%96%20%23kanji', '彡': 'http:////jisho.org/search/%E5%BD%A1%20%23kanji', '攵': 'http:////jisho.org/search/%E6%94%B5%20%23kanji', '乞': 'http:////jisho.org/search/%E4%B9%9E%20%23kanji'}","{'人 (亻)': 'man, human'}","{'シュウ': 'http:////jisho.org/search/%E4%BF%AE%20%E3%81%97%E3%82%85%E3%81%86', 'シュ': 'http:////jisho.org/search/%E4%BF%AE%20%E3%81%97%E3%82%85'}","{'おさ.める': 'http:////jisho.org/search/%E4%BF%AE%20%E3%81%8A%E3%81%95%E3%82%81%E3%82%8B', 'おさ.まる': 'http:////jisho.org/search/%E4%BF%AE%20%E3%81%8A%E3%81%95%E3%81%BE%E3%82%8B'}","['修業  【シュウギョウ】  pursuit of knowledge, studying, learning, training, completing a course', '修学旅行  【シュウガクリョコウ】  excursion, field trip, school trip', '監修  【カンシュウ】  (editorial) supervision, general editorship, supervising director (of anime, TV series etc.)', '改修  【カイシュウ】  repair, improvement', '修業  【シュウギョウ】  pursuit of knowledge, studying, learning, training, completing a course', '修学旅行  【シュウガクリョコウ】  excursion, field trip, school trip', '逆修  【ギャクシュ】  holding a memorial service for oneself, an older person conducting a memorial service for a deceased, younger person']","[""修める  【おさめる】  to study, to complete (a course), to cultivate, to master, to order (one's life), to repair (a fault one has committed)"", '修まる  【おさまる】  to reform (oneself), to conduct oneself well']"
袖,10,1960,junior high,,"{'一': 'http:////jisho.org/search/%E4%B8%80%20%23kanji', '｜': 'http:////jisho.org/search/%EF%BD%9C%20%23kanji', '田': 'http:////jisho.org/search/%E7%94%B0%20%23kanji', '初': 'http:////jisho.org/search/%E5%88%9D%20%23kanji'}",{'衣 (衤)': 'clothes'},{'シュウ': 'http:////jisho.org/search/%E8%A2%96%20%E3%81%97%E3%82%85%E3%81%86'},{'そで': 'http:////jisho.org/search/%E8%A2%96%20%E3%81%9D%E3%81%A7'},"[""袖手傍観  【シュウシュボウカン】  looking on with folded arms (with one's hands in one's sleeves), remaining a passive onlooker"", '袖珍本  【シュウチンボン】  pocket-size book', '領袖  【リョウシュウ】  leader, chief, boss']","['袖  【そで】  sleeve, wing (of a stage, desk, gate, etc.)', '袖裏  【そでうら】  lining of a sleeve, sleeve lining', '小袖  【こそで】  short sleeved kimono (worn as an undergarment during Heian period), padded silk garment', '両袖  【りょうそで】  both sleeves']"
終,11,256,grade 3,N4,"{'夂': 'http:////jisho.org/search/%E5%A4%82%20%23kanji', '小': 'http:////jisho.org/search/%E5%B0%8F%20%23kanji', '幺': 'http:////jisho.org/search/%E5%B9%BA%20%23kanji', '糸': 'http:////jisho.org/search/%E7%B3%B8%20%23kanji'}",{'糸 (糹)': 'silk'},{'シュウ': 'http:////jisho.org/search/%E7%B5%82%20%E3%81%97%E3%82%85%E3%81%86'},"{'お.わる': 'http:////jisho.org/search/%E7%B5%82%20%E3%81%8A%E3%82%8F%E3%82%8B', '-お.わる': 'http:////jisho.org/search/%E7%B5%82%20%E3%81%8A%E3%82%8F%E3%82%8B', 'おわ.る': 'http:////jisho.org/search/%E7%B5%82%20%E3%81%8A%E3%82%8F%E3%82%8B', 'お.える': 'http:////jisho.org/search/%E7%B5%82%20%E3%81%8A%E3%81%88%E3%82%8B', 'つい': 'http:////jisho.org/search/%E7%B5%82%20%E3%81%A4%E3%81%84', 'つい.に': 'http:////jisho.org/search/%E7%B5%82%20%E3%81%A4%E3%81%84%E3%81%AB'}","['終局  【シュウキョク】  end, close, conclusion, end of a game of go, shogi, etc.', '終焉  【シュウエン】  demise', '有終  【ユウシュウ】  perfection', '無終  【ムシュウ】  endlessness']","['終わる  【おわる】  to finish, to end, to close', '終わる  【おわる】  to finish, to end, to close', '終える  【おえる】  to finish, to graduate', '終  【つい】  end, final, end of life, death, never, not at all', '遂に  【ついに】  finally, at last, in the end', '遂に  【ついに】  finally, at last, in the end']"
羞,11,,junior high,,"{'ノ': 'http:////jisho.org/search/%E3%83%8E%20%23kanji', '并': 'http:////jisho.org/search/%E5%B9%B6%20%23kanji', 'ヨ': 'http:////jisho.org/search/%E3%83%A8%20%23kanji', '王': 'http:////jisho.org/search/%E7%8E%8B%20%23kanji', '羊': 'http:////jisho.org/search/%E7%BE%8A%20%23kanji'}",{'羊 (⺶)': 'sheep'},{'シュウ': 'http:////jisho.org/search/%E7%BE%9E%20%E3%81%97%E3%82%85%E3%81%86'},"{'はじ.る': 'http:////jisho.org/search/%E7%BE%9E%20%E3%81%AF%E3%81%98%E3%82%8B', 'すすめ.る': 'http:////jisho.org/search/%E7%BE%9E%20%E3%81%99%E3%81%99%E3%82%81%E3%82%8B', 'は.ずかしい': 'http:////jisho.org/search/%E7%BE%9E%20%E3%81%AF%E3%81%9A%E3%81%8B%E3%81%97%E3%81%84'}","['羞恥  【シュウチ】  shyness, bashfulness, shame', '羞悪  【シュウオ】  shame and hatred of evil', '嬌羞  【キョウシュウ】  charming and coy', '含羞  【ガンシュウ】  shyness']","['恥じる  【はじる】  to feel ashamed', '恥ずかしい  【はずかしい】  embarrassing, embarrassed, ashamed, humiliated, shy, disgraceful, shameful']"
習,11,706,grade 3,N4,"{'冫': 'http:////jisho.org/search/%E5%86%AB%20%23kanji', '白': 'http:////jisho.org/search/%E7%99%BD%20%23kanji', '羽': 'http:////jisho.org/search/%E7%BE%BD%20%23kanji'}",{'羽': 'feather'},"{'シュウ': 'http:////jisho.org/search/%E7%BF%92%20%E3%81%97%E3%82%85%E3%81%86', 'ジュ': 'http:////jisho.org/search/%E7%BF%92%20%E3%81%98%E3%82%85'}","{'なら.う': 'http:////jisho.org/search/%E7%BF%92%20%E3%81%AA%E3%82%89%E3%81%86', 'なら.い': 'http:////jisho.org/search/%E7%BF%92%20%E3%81%AA%E3%82%89%E3%81%84'}","['習性  【シュウセイ】  habit, behavior, behaviour, trait, nature', '習慣  【シュウカン】  habit, custom, cultural practice', '演習  【エンシュウ】  practice, practising, exercises, manoeuvres, maneuvers, seminar (student debates, presentations, etc.), practicum', '教習  【キョウシュウ】  training, instruction', '近習  【キンジュ】  attendant']","['習う  【ならう】  to take lessons in, to be taught, to learn (from a teacher), to study (under a teacher), to get training in', '習うより慣れろ  【ならうよりなれろ】  experience is the best teacher, custom makes all things easy, you learn best by doing, practice makes perfect, it is better to grow accustomed than to be taught', '習い  【ならい】  as is habit, the way life normally is', '習い事  【ならいごと】  accomplishment, lesson, practice', '見習い  【みならい】  apprenticeship, probation, learning by observation, apprentice, trainee, probationer', '行儀見習い  【ぎょうぎみならい】  learning good manners through apprenticeship (to an upper-class family)']"
週,11,540,grade 2,N4,"{'冂': 'http:////jisho.org/search/%E5%86%82%20%23kanji', '込': 'http:////jisho.org/search/%E8%BE%BC%20%23kanji', '口': 'http:////jisho.org/search/%E5%8F%A3%20%23kanji', '土': 'http:////jisho.org/search/%E5%9C%9F%20%23kanji'}","{'辵 (辶, ⻌, ⻍)': 'walk'}",,{'シュウ': 'http:////jisho.org/search/%E9%80%B1%20%E3%81%97%E3%82%85%E3%81%86'},"['週  【シュウ】  week', '週明け  【シュウアケ】  beginning of next week (usu. Monday), early next week', '前週  【ゼンシュウ】  last week, the week before', '隔週  【カクシュウ】  every other week, every two weeks']",
就,12,624,grade 6,N1,"{'丶': 'http:////jisho.org/search/%E4%B8%B6%20%23kanji', '亠': 'http:////jisho.org/search/%E4%BA%A0%20%23kanji', '口': 'http:////jisho.org/search/%E5%8F%A3%20%23kanji', '小': 'http:////jisho.org/search/%E5%B0%8F%20%23kanji', '尢': 'http:////jisho.org/search/%E5%B0%A2%20%23kanji', '尤': 'http:////jisho.org/search/%E5%B0%A4%20%23kanji'}",{'尢 (尣)': 'lame'},"{'シュウ': 'http:////jisho.org/search/%E5%B0%B1%20%E3%81%97%E3%82%85%E3%81%86', 'ジュ': 'http:////jisho.org/search/%E5%B0%B1%20%E3%81%98%E3%82%85'}","{'つ.く': 'http:////jisho.org/search/%E5%B0%B1%20%E3%81%A4%E3%81%8F', 'つ.ける': 'http:////jisho.org/search/%E5%B0%B1%20%E3%81%A4%E3%81%91%E3%82%8B'}","['就業  【シュウギョウ】  employment, starting work', '就学  【シュウガク】  entering school, school attendance', ""去就  【キョシュウ】  leaving or staying, (one's) course of action, (one's) position, (one's) attitude"", ""進退去就  【シンタイキョシュウ】  one's course of action, deciding what to do with oneself, whether staying in the present position or leaving it"", ""本懐成就  【ホンカイジョウジュ】  realization of a great ambition, attainment of one's most cherished desire, one's earnest prayer being answered"", '不空成就  【フクウジョウジュ】  Amoghasiddhi, Infallible Magic (a dhyani-Buddha)']","['就く  【つく】  to ascend (the throne), to accede, to take (seat, position, course, office, etc.), to assume, to be hired, to be employed, to start (on a journey), to commence, to depart, to study (under teacher), to be an apprentice', '就ける  【つける】  to install (a king, emperor, etc.), to appoint (to a post), to promote, to assign (to study under)']"
衆,12,450,grade 6,N1,"{'皿': 'http:////jisho.org/search/%E7%9A%BF%20%23kanji', '糸': 'http:////jisho.org/search/%E7%B3%B8%20%23kanji', '血': 'http:////jisho.org/search/%E8%A1%80%20%23kanji'}",{'血': 'blood'},"{'シュウ': 'http:////jisho.org/search/%E8%A1%86%20%E3%81%97%E3%82%85%E3%81%86', 'シュ': 'http:////jisho.org/search/%E8%A1%86%20%E3%81%97%E3%82%85'}",{'おお.い': 'http:////jisho.org/search/%E8%A1%86%20%E3%81%8A%E3%81%8A%E3%81%84'},"['衆  【シュウ】  great numbers (of people), numerical superiority, masses, people, folk, clique, bunch', '衆院  【シュウイン】  House of Representatives (lower house of the National Diet of Japan)', '若い衆  【ワカイシュ】  young man, youth, lad, servant boy, young shopboy', '全会衆  【ゼンカイシュウ】  the whole assembly, the whole congregation', '衆  【シュウ】  great numbers (of people), numerical superiority, masses, people, folk, clique, bunch', '衆院  【シュウイン】  House of Representatives (lower house of the National Diet of Japan)', '若い衆  【ワカイシュ】  young man, youth, lad, servant boy, young shopboy', '僧衆  【ソウシュウ】  large number of priests']",
集,12,210,grade 3,N4,"{'木': 'http:////jisho.org/search/%E6%9C%A8%20%23kanji', '隹': 'http:////jisho.org/search/%E9%9A%B9%20%23kanji'}",{'隹': 'small bird'},{'シュウ': 'http:////jisho.org/search/%E9%9B%86%20%E3%81%97%E3%82%85%E3%81%86'},"{'あつ.まる': 'http:////jisho.org/search/%E9%9B%86%20%E3%81%82%E3%81%A4%E3%81%BE%E3%82%8B', 'あつ.める': 'http:////jisho.org/search/%E9%9B%86%20%E3%81%82%E3%81%A4%E3%82%81%E3%82%8B', 'つど.う': 'http:////jisho.org/search/%E9%9B%86%20%E3%81%A4%E3%81%A9%E3%81%86'}","['集  【シュウ】  collection, compilation', '集荷  【シュウカ】  collection of cargo (esp. produce, etc.), cargo booking', '句集  【クシュウ】  collection of haiku poems', '歌集  【カシュウ】  anthology, book of poetry']","['集まる  【あつまる】  to gather, to collect, to assemble', '集める  【あつめる】  to collect, to assemble, to gather', '集う  【つどう】  to meet, to assemble, to congregate']"
愁,13,2171,junior high,N1,"{'心': 'http:////jisho.org/search/%E5%BF%83%20%23kanji', '火': 'http:////jisho.org/search/%E7%81%AB%20%23kanji', '禾': 'http:////jisho.org/search/%E7%A6%BE%20%23kanji'}","{'心 (忄, ⺗)': 'heart'}",{'シュウ': 'http:////jisho.org/search/%E6%84%81%20%E3%81%97%E3%82%85%E3%81%86'},"{'うれ.える': 'http:////jisho.org/search/%E6%84%81%20%E3%81%86%E3%82%8C%E3%81%88%E3%82%8B', 'うれ.い': 'http:////jisho.org/search/%E6%84%81%20%E3%81%86%E3%82%8C%E3%81%84'}","['愁傷  【シュウショウ】  grief, sorrow', '愁色  【シュウショク】  worried look', '哀愁  【アイシュウ】  pathos, sorrow, grief', '幽愁  【ユウシュウ】  deep contemplation, melancholy, gloom']","['憂える  【うれえる】  to worry about, to be anxious about, to be concerned about, to lament, to grieve, to feel sorrow for', '憂い  【うれい】  sorrow, grief, anguish, distress, trouble, affliction, anxiety, fear, misgivings', '憂い顔  【うれいがお】  sad face, sorrowful face, anxious look, sad countenance']"
酬,13,1515,junior high,N1,"{'｜': 'http:////jisho.org/search/%EF%BD%9C%20%23kanji', '丶': 'http:////jisho.org/search/%E4%B8%B6%20%23kanji', '川': 'http:////jisho.org/search/%E5%B7%9D%20%23kanji', '酉': 'http:////jisho.org/search/%E9%85%89%20%23kanji'}","{'酉': 'wine, alcohol'}","{'シュウ': 'http:////jisho.org/search/%E9%85%AC%20%E3%81%97%E3%82%85%E3%81%86', 'シュ': 'http:////jisho.org/search/%E9%85%AC%20%E3%81%97%E3%82%85', 'トウ': 'http:////jisho.org/search/%E9%85%AC%20%E3%81%A8%E3%81%86'}",{'むく.いる': 'http:////jisho.org/search/%E9%85%AC%20%E3%82%80%E3%81%8F%E3%81%84%E3%82%8B'},"['無報酬  【ムホウシュウ】  unpaid, without pay, gratuitous, voluntary', '成功報酬  【セイコウホウシュウ】  fee contingent upon success, contingency fee, completion bonus']","['報いる  【むくいる】  to reward, to recompense, to repay, to retaliate, to get revenge']"
醜,17,2074,junior high,N1,"{'儿': 'http:////jisho.org/search/%E5%84%BF%20%23kanji', '匕': 'http:////jisho.org/search/%E5%8C%95%20%23kanji', '厶': 'http:////jisho.org/search/%E5%8E%B6%20%23kanji', '田': 'http:////jisho.org/search/%E7%94%B0%20%23kanji', '酉': 'http:////jisho.org/search/%E9%85%89%20%23kanji', '鬼': 'http:////jisho.org/search/%E9%AC%BC%20%23kanji'}","{'酉': 'wine, alcohol'}",{'シュウ': 'http:////jisho.org/search/%E9%86%9C%20%E3%81%97%E3%82%85%E3%81%86'},"{'みにく.い': 'http:////jisho.org/search/%E9%86%9C%20%E3%81%BF%E3%81%AB%E3%81%8F%E3%81%84', 'しこ': 'http:////jisho.org/search/%E9%86%9C%20%E3%81%97%E3%81%93'}","['醜  【シュウ】  ugliness', '醜女  【シュウジョ】  homely woman, plain-looking woman, female demon', '老醜  【ロウシュウ】  ugliness of old age', '美醜  【ビシュウ】  beauty or ugliness, personal appearance, looks']","['醜い  【みにくい】  ugly, unattractive, unsightly, unseemly', '醜いアヒルの子  【みにくいアヒルのこ】  ugly duckling', '醜女  【しゅうじょ】  homely woman, plain-looking woman, female demon', ""四股名  【しこな】  wrestler's stage name""]"
蹴,19,2377,junior high,,"{'乙': 'http:////jisho.org/search/%E4%B9%99%20%23kanji', '丶': 'http:////jisho.org/search/%E4%B8%B6%20%23kanji', 'ノ': 'http:////jisho.org/search/%E3%83%8E%20%23kanji', '亠': 'http:////jisho.org/search/%E4%BA%A0%20%23kanji', '口': 'http:////jisho.org/search/%E5%8F%A3%20%23kanji', '小': 'http:////jisho.org/search/%E5%B0%8F%20%23kanji', '尢': 'http:////jisho.org/search/%E5%B0%A2%20%23kanji', '止': 'http:////jisho.org/search/%E6%AD%A2%20%23kanji', '尤': 'http:////jisho.org/search/%E5%B0%A4%20%23kanji', '足': 'http:////jisho.org/search/%E8%B6%B3%20%23kanji'}",{'足 (⻊)': 'foot'},"{'シュク': 'http:////jisho.org/search/%E8%B9%B4%20%E3%81%97%E3%82%85%E3%81%8F', 'シュウ': 'http:////jisho.org/search/%E8%B9%B4%20%E3%81%97%E3%82%85%E3%81%86'}",{'け.る': 'http:////jisho.org/search/%E8%B9%B4%20%E3%81%91%E3%82%8B'},"['蹴鞠  【ケマリ】  kemari, type of football played by courtiers in ancient Japan', '蹴球  【シュウキュウ】  football (incl. soccer, rugby, American football, etc.; esp. used for soccer)', '一蹴  【イッシュウ】  flatly rejecting, curtly refusing, brushing aside, beating easily, defeating handily, a kick', '先蹴  【センシュウ】  kick-off (esp. rugby)']","[""蹴る  【ける】  to kick, to refuse, to reject, to stamp (on the ground), to firmly press one's feet (against something)""]"
